Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
11,client13,0.7672445384073291,16373.976633884013,exp1,5,15,1000.0,10,09-05-26-141047
11,client1,0.7590887195035562,12774.92761798203,exp1,5,15,1000.0,10,09-05-26-141047
11,client9,0.7937455780387718,15043.19676849991,exp1,5,15,1000.0,10,09-05-26-141047
12,client5,0.8284050432521061,13194.203834049404,exp1,5,15,1000.0,10,09-05-26-141047
12,client17,0.7647573610366146,13057.564380578697,exp1,5,15,1000.0,10,09-05-26-141047
12,client13,0.8384496124031008,16021.1170790717,exp1,5,15,1000.0,10,09-05-26-141047
12,client1,0.7696863222918024,12874.442514032124,exp1,5,15,1000.0,10,09-05-26-141047
12,client9,0.7102872506013868,14956.438541412354,exp1,5,15,1000.0,10,09-05-26-141047
13,client5,0.8273873466387742,13721.789331175389,exp1,5,15,1000.0,10,09-05-26-141047
13,client17,0.7522231318634786,13066.549276933074,exp1,5,15,1000.0,10,09-05-26-141047
13,client13,0.8264411557434813,16059.014993719757,exp1,5,15,1000.0,10,09-05-26-141047
13,client1,0.7876795783627554,15144.092045724392,exp1,5,15,1000.0,10,09-05-26-141047
13,client9,0.7176170935333239,15123.677464202046,exp1,5,15,1000.0,10,09-05-26-141047
14,client5,0.7863402499010572,14182.412999682128,exp1,5,15,1000.0,10,09-05-26-141047
14,client17,0.7446574259661801,13608.739900402725,exp1,5,15,1000.0,10,09-05-26-141047
14,client13,0.8254263565891473,16494.20731700957,exp1,5,15,1000.0,10,09-05-26-141047
14,client1,0.7632824232807232,13116.40513688326,exp1,5,15,1000.0,10,09-05-26-141047
14,client9,0.7533606905334654,15254.502172581851,exp1,5,15,1000.0,10,09-05-26-141047
15,client5,0.6675524396449369,12934.4510063529,exp1,5,15,1000.0,10,09-05-26-141047
15,client17,0.7794088586511588,12870.739256031811,exp1,5,15,1000.0,10,09-05-26-141047
15,client13,0.7696687808315715,16128.784017637372,exp1,5,15,1000.0,10,09-05-26-141047
15,client1,0.6094755036694908,13555.570116266608,exp1,5,15,1000.0,10,09-05-26-141047
15,client9,0.7733125795953021,13787.977950647472,exp1,5,15,1000.0,10,09-05-26-141047
16,client5,0.8108780460225024,14529.895986430349,exp1,5,15,1000.0,10,09-05-26-141047
16,client17,0.7598170680066624,14305.47769740224,exp1,5,15,1000.0,10,09-05-26-141047
16,client13,0.6990274841437633,16037.863463163376,exp1,5,15,1000.0,10,09-05-26-141047
16,client1,0.7934317531381939,12898.70700892061,exp1,5,15,1000.0,10,09-05-26-141047
16,client9,0.7441347106268572,15765.495643019676,exp1,5,15,1000.0,10,09-05-26-141047
17,client5,0.7858596709447617,14396.973853930833,exp1,5,15,1000.0,10,09-05-26-141047
17,client17,0.7995087937215933,12941.690023988484,exp1,5,15,1000.0,10,09-05-26-141047
17,client13,0.7438195912614517,16251.0653892532,exp1,5,15,1000.0,10,09-05-26-141047
17,client1,0.8348304100195517,14181.032409891486,exp1,5,15,1000.0,10,09-05-26-141047
17,client9,0.7835573793688977,15491.434520110488,exp1,5,15,1000.0,10,09-05-26-141047
18,client5,0.8302708203765478,13950.808139517903,exp1,5,15,1000.0,10,09-05-26-141047
18,client17,0.8193546565790588,13396.860354579983,exp1,5,15,1000.0,10,09-05-26-141047
18,client13,0.7755602536997885,15948.660988360643,exp1,5,15,1000.0,10,09-05-26-141047
18,client1,0.8082797313762715,13364.901825785637,exp1,5,15,1000.0,10,09-05-26-141047
18,client9,0.6801754634215367,13412.449229508638,exp1,5,15,1000.0,10,09-05-26-141047
19,client5,0.8254084921128513,14601.869717240334,exp1,5,15,1000.0,10,09-05-26-141047
19,client17,0.7628377043164046,14299.732661806049,exp1,5,15,1000.0,10,09-05-26-141047
19,client13,0.7461592670894996,16319.834739901124,exp1,5,15,1000.0,10,09-05-26-141047
19,client1,0.7932900739565328,12913.082540035248,exp1,5,15,1000.0,10,09-05-26-141047
