Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,exp,K,Z,sigma_ed,sigma_iid,timestamp
7,0.5924247080516287,521.6105012223125,36986.77548393607,167638146341,exp1,5,30,1000.0,10,08-05-26-134913
8,0.5719114935464045,520.6382917240262,36609.10256393254,167481173906,exp1,5,30,1000.0,10,08-05-26-134913
9,0.6639520590043024,515.3267299756408,37664.32385146618,169264535669,exp1,5,30,1000.0,10,08-05-26-134913
10,0.6870774431468961,503.2222317531705,35288.47526200116,168255172629,exp1,5,30,1000.0,10,08-05-26-134913
11,0.7236478180700676,516.665062867105,36251.91420130432,167996908304,exp1,5,30,1000.0,10,08-05-26-134913
12,0.7004456054087277,431.276679970324,35963.265132158995,166671331537,exp1,5,30,1000.0,10,08-05-26-134913
13,0.6912261831591887,471.5675078332424,37423.23059029877,165126813024,exp1,5,30,1000.0,10,08-05-26-134913
14,0.7352105101413645,550.8033214136958,38614.22046460211,168865907383,exp1,5,30,1000.0,10,08-05-26-134913
15,0.7537261831591887,536.1313978210092,36856.91243223846,170144680661,exp1,5,30,1000.0,10,08-05-26-134913
16,0.6716733251382914,515.1691464707255,36500.83436258137,169830451520,exp1,5,30,1000.0,10,08-05-26-134913
17,0.733520282728949,461.2902104854584,36964.46376666427,168574915617,exp1,5,30,1000.0,10,08-05-26-134913
18,0.7589889366933006,469.6356235072017,36412.05535642803,167438640787,exp1,5,30,1000.0,10,08-05-26-134913
19,0.7625230485556238,493.776734918356,37204.44279909134,170473882802,exp1,5,30,1000.0,10,08-05-26-134913
20,0.7737015980331899,464.70740623772144,35559.30474586785,166614884460,exp1,5,30,1000.0,10,08-05-26-134913
21,0.7647510755992625,492.7848046645522,35959.10345297307,167783238555,exp1,5,30,1000.0,10,08-05-26-134913
22,0.7633297480024586,476.45089868456125,36407.366162166,167476911798,exp1,5,30,1000.0,10,08-05-26-134913
23,0.7319068838352797,485.684035345912,35937.3316578567,168249387059,exp1,5,30,1000.0,10,08-05-26-134913
24,0.750460971112477,472.3571138456464,37366.19041953236,169585206537,exp1,5,30,1000.0,10,08-05-26-134913
0,0.134718807621389,682.6472319662571,9305.83068728447,162452144151,exp1,5,120,1000.0,10,08-05-26-173133
1,0.2027120467117394,510.3820767253637,9535.134648904204,163125965987,exp1,5,120,1000.0,10,08-05-26-173133
2,0.3539874001229256,520.829482935369,8992.490546777844,163661311746,exp1,5,120,1000.0,10,08-05-26-173133
3,0.4557083589428395,533.575507812202,9103.902043774724,161352488200,exp1,5,120,1000.0,10,08-05-26-173133
4,0.4960817455439459,490.5328992754221,9667.146779596806,162543799879,exp1,5,120,1000.0,10,08-05-26-173133
5,0.5504763368162262,526.3856668025255,9289.696123450994,162701006245,exp1,5,120,1000.0,10,08-05-26-173133
6,0.5602335586969883,505.204769782722,9404.941717162728,163738898313,exp1,5,120,1000.0,10,08-05-26-173133
7,0.5528580208973571,524.6555292978883,9001.224127598107,163462545008,exp1,5,120,1000.0,10,08-05-26-173133
8,0.5567378610940381,542.649251408875,9543.871679343283,162969811486,exp1,5,120,1000.0,10,08-05-26-173133
9,0.5164028887523049,462.2152643278241,9014.79553245008,161535631355,exp1,5,120,1000.0,10,08-05-26-173133
10,0.4400737553779963,527.0741349086165,9022.730140015485,161558920901,exp1,5,120,1000.0,10,08-05-26-173133
11,0.4318531038721573,542.2137640416622,9313.592130318284,162256884629,exp1,5,120,1000.0,10,08-05-26-173133
