Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
6,client14,0.6211251435132032,2025.642416905612,10,03-03-26-205051
6,client13,0.3702517162471396,2131.6801360808317,10,03-03-26-205051
6,client1,0.5374829622898682,1738.8604518491777,10,03-03-26-205051
6,client2,0.6358195211786372,1772.2249359358102,10,03-03-26-205051
7,client5,0.5395667550839964,2019.5125420577824,10,03-03-26-205051
7,client6,0.6309287447606442,1892.440406838432,10,03-03-26-205051
7,client18,0.5559314388813712,1911.7160951718688,10,03-03-26-205051
7,client17,0.6061293984108967,1800.6124950479716,10,03-03-26-205051
7,client14,0.5554535017221585,1993.7862660735848,10,03-03-26-205051
7,client13,0.3180778032036613,2067.149785812944,10,03-03-26-205051
7,client1,0.5956383462062699,1717.5273490138352,10,03-03-26-205051
7,client2,0.6005985267034991,1687.021543039009,10,03-03-26-205051
8,client5,0.5687444739168878,1912.250413093716,10,03-03-26-205051
8,client6,0.5764394440767704,1952.1053861826656,10,03-03-26-205051
8,client18,0.5602165087956699,1664.559334050864,10,03-03-26-205051
8,client17,0.6431328036322361,1846.925811842084,10,03-03-26-205051
8,client14,0.6156142365097589,2035.970201017335,10,03-03-26-205051
8,client13,0.2922196796338673,2339.6780260372907,10,03-03-26-205051
8,client2,0.6316758747697975,1692.590004997328,10,03-03-26-205051
8,client1,0.5626987732848705,1772.002483950928,10,03-03-26-205051
9,client5,0.5477453580901857,1840.7020450104028,10,03-03-26-205051
9,client6,0.6121773659827928,1932.126013096422,10,03-03-26-205051
9,client17,0.5727582292849035,1734.080543043092,10,03-03-26-205051
9,client18,0.5769057284618855,1813.178061041981,10,03-03-26-205051
9,client14,0.6551090700344432,1982.9305040184408,10,03-03-26-205051
9,client13,0.1890160183066361,2106.9416461978108,10,03-03-26-205051
9,client2,0.5686003683241252,1713.7374731246382,10,03-03-26-205051
9,client1,0.5247614720581554,1790.9431071020665,10,03-03-26-205051
10,client6,0.3745863666446062,1865.785748930648,10,03-03-26-205051
10,client5,0.3545534924845269,1941.774001112208,10,03-03-26-205051
10,client18,0.5105999097880018,1876.1319450568408,10,03-03-26-205051
10,client17,0.4522133938706016,1787.8684049937874,10,03-03-26-205051
10,client14,0.4330654420206659,2192.787513835356,10,03-03-26-205051
10,client13,0.2622425629290618,2194.295453140512,10,03-03-26-205051
10,client2,0.5384438305709024,1657.395447138697,10,03-03-26-205051
10,client1,0.362335302135393,1897.9991958476603,10,03-03-26-205051
11,client5,0.3041556145004421,1986.942404182628,10,03-03-26-205051
11,client6,0.3068607985881315,1934.584688860923,10,03-03-26-205051
11,client18,0.4226432115471357,1720.1825969386846,10,03-03-26-205051
11,client17,0.4111237230419977,1774.6855928562582,10,03-03-26-205051
11,client13,0.2569794050343249,2189.4143410027027,10,03-03-26-205051
11,client14,0.3811710677382319,2049.655928974971,10,03-03-26-205051
11,client2,0.4942449355432781,1637.6124520320443,10,03-03-26-205051
11,client1,0.1601544752385279,1705.497401067987,10,03-03-26-205051
12,client5,0.2188328912466843,1895.951425889507,10,03-03-26-205051
12,client6,0.2333995146701963,1889.9305490776896,10,03-03-26-205051
