round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,dbscan_label,zscore
6,client5,maurits-dijk-c62aff21client51-kj6sp,sidecar,816.1890000000003,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.634119124696777
0,client7,client7-544486cc98-lqjzk,client7,994.41,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.5398712004205666
0,client7,client7-544486cc98-lqjzk,linkerd-proxy,993.945,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.538820897968302
0,client7,client7-544486cc98-lqjzk,sidecar,911.928,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.640598764537458
18,client7,client7-544486cc98-m2z98,client7,1033.985999999999,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.631963319059613
18,client7,client7-544486cc98-m2z98,linkerd-proxy,1033.6650000000009,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.6337753944536697
18,client7,client7-544486cc98-m2z98,sidecar,1032.4169999999976,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.634971054714341
18,client8,client8-5845965f99-t89sb,client8,999.3239999999988,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.6205482071933024
18,client8,client8-5845965f99-t89sb,linkerd-proxy,998.8529999999992,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.620493267572091
18,client8,client8-5845965f99-t89sb,sidecar,997.5,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.6678687276440956
6,client9,client9-d68fb99b4-t5v62,sidecar,850.3290000000006,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.5731783906474
7,orchestrator,orchestrator-555f7b7c9d-b8qvg,orchestrator,141.2610000000002,exp1,5,190,1000.0,10,09-05-26-213720,-1,-2.62674184670298
6,client12,client12-79bc8d5846-q7vqg,client12,1021.0740000000004,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.5389457270904034
6,client12,client12-79bc8d5846-q7vqg,linkerd-proxy,1020.9360000000006,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.5395337710582635
23,client17,client17-69b85b5ccf-xlmnf,sidecar,774.4259999999995,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.544976167933847
23,client17,maurits-dijk-01decb0eclient171-zrmdp,sidecar,819.5160000000014,exp1,5,230,1000.0,10,09-05-26-225009,-1,2.64531064553875
23,client18,client18-69db77c748-jxcqz,client18,988.2089999999988,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.5239742994292436
23,client18,client18-69db77c748-jxcqz,linkerd-proxy,988.0290000000024,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.5249922216137044
23,client18,client18-69db77c748-jxcqz,sidecar,986.3610000000008,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.5251901572747406
23,client2,client2-86cd6d8cf7-zfjkn,client2,1053.3780000000006,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.851302409343673
23,client2,client2-86cd6d8cf7-zfjkn,linkerd-proxy,1053.255000000001,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.8511143926458833
23,client2,client2-86cd6d8cf7-zfjkn,sidecar,1051.554,exp1,5,230,1000.0,10,10-05-26-193034,-1,2.8521516633979087
15,client5,client5-7d5ff7f8b4-7dnpx,sidecar,394.59000000000015,exp1,5,230,1000.0,10,08-05-26-210948,-1,-2.59486048219363
23,client7,client7-544486cc98-vfcw4,client7,1023.6870000000016,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.9782588606844933
23,client7,client7-544486cc98-vfcw4,linkerd-proxy,1023.3089999999976,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.977227153385547
23,client7,client7-544486cc98-vfcw4,sidecar,1021.9379999999984,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.978722379325772
1,server,maurits-dijk-f9bdae8bserver1-d84vt,sidecar,281.256,exp1,5,230,1000.0,10,08-05-26-210948,-1,-2.5044637213134147
2,server,server-656f98b57f-cw5v7,sidecar,575.4479999999999,exp1,5,230,1000.0,10,08-05-26-210948,-1,2.7869982544750633
8,client11,client11-565c48c7c7-pwwgw,sidecar,872.8800000000001,exp1,5,260,1000.0,10,10-05-26-000257,-1,2.825617085273313
2,client15,client15-79c969ddf-44zr4,client15,961.2210000000002,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.558435320463053
2,client15,client15-79c969ddf-44zr4,linkerd-proxy,960.933,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.5586365635002153
2,client15,client15-79c969ddf-44zr4,sidecar,959.4720000000002,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.5603336903789295
21,client17,client17-69b85b5ccf-7x4fv,sidecar,803.460000000001,exp1,5,260,1000.0,10,10-05-26-000257,-1,2.7993352516267964
21,client17,maurits-dijk-e38e5913client171-lbc7q,sidecar,760.5330000000013,exp1,5,260,1000.0,10,10-05-26-000257,-1,2.8711612066783334
5,client6,client6-785d875985-zf45j,client6,965.9219999999996,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.5217569070968904
5,client6,client6-785d875985-zf45j,linkerd-proxy,965.817,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.524356000816579
5,client6,client6-785d875985-zf45j,sidecar,963.5879999999996,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.522798007727387
21,client9,client9-d68fb99b4-dqjgc,sidecar,776.4150000000009,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.68482831831702
16,orchestrator,orchestrator-555f7b7c9d-5b2br,sidecar,427.1100000000006,exp1,5,260,1000.0,10,10-05-26-204321,-1,2.523359444683982
4,orchestrator,orchestrator-555f7b7c9d-zxwn2,orchestrator,355.107,exp1,5,260,1000.0,10,10-05-26-000257,-1,2.6831140836921668
9,server,maurits-dijk-792545d4server1-vbl8j,sidecar,524.5110000000004,exp1,5,260,1000.0,10,08-05-26-222235,-1,2.6820909340038135
20,server,maurits-dijk-e38e5913server1-b8zm9,hfl-train-model,950.3970000000008,exp1,5,260,1000.0,10,10-05-26-000257,-1,2.641919255430476
20,client1,maurits-dijk-6f807020client11-64jrn,sidecar,768.2099999999991,exp1,5,300,1000.0,10,10-05-26-215608,-1,2.640002872788003
15,client20,client20-65f8864f77-vk8dc,sidecar,950.1450000000004,exp1,5,300,1000.0,10,10-05-26-215608,-1,2.532094860318888
8,client13,maurits-dijk-0329b7f7client131-6fgf2,sidecar,638.7840000000006,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.53366451956887
2,client17,maurits-dijk-0329b7f7client171-srgbk,sidecar,728.6400000000003,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.5465894422789956
7,client5,client5-7d5ff7f8b4-sxbhq,sidecar,710.8290000000002,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.749647601434883
2,client9,client9-d68fb99b4-8kchv,sidecar,770.3099999999997,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.6047861828387
15,client9,client9-d68fb99b4-j79h5,sidecar,812.1540000000005,exp1,5,330,1000.0,10,10-05-26-230852,-1,2.5458235923236385
0,server,maurits-dijk-0329b7f7server1-9c2bp,hfl-train,696.7470000000001,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.7716418241635004
0,server,maurits-dijk-0329b7f7server1-9c2bp,hfl-train-model,997.587,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.646032961181797
0,server,server-656f98b57f-5gz6d,linkerd-proxy,756.945,exp1,5,330,1000.0,10,08-05-26-234107,-1,3.1521714033444495
0,server,server-656f98b57f-5gz6d,server,769.851,exp1,5,330,1000.0,10,08-05-26-234107,-1,3.12298365388923
0,server,server-656f98b57f-5gz6d,sidecar,641.7570000000001,exp1,5,330,1000.0,10,08-05-26-234107,-1,2.9529772046625387
11,client1,client1-7b9db886dd-vpmnq,client1,887.835000000001,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.5192779966819456
11,client1,client1-7b9db886dd-vpmnq,sidecar,866.5500000000002,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.7643130223554686
13,client1,maurits-dijk-dd4ae495client11-6fr6s,sidecar,764.5019999999995,exp1,5,360,1000.0,10,09-05-26-104246,-1,3.00118643263295
11,client1,maurits-dijk-fa9221f4client11-s6cwx,hfl-train-model,880.2810000000009,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.502700333368091
17,client1,maurits-dijk-fa9221f4client11-s6cwx,sidecar,800.6579999999976,exp1,5,360,1000.0,10,11-05-26-002038,-1,3.014062547910207
19,client12,client12-79bc8d5846-sznfd,client12,995.8319999999984,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.8801096024222943
19,client12,client12-79bc8d5846-sznfd,linkerd-proxy,995.6789999999984,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.88046002241139
19,client12,client12-79bc8d5846-sznfd,sidecar,832.8869999999988,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.789086588320113
22,client13,client13-7bf86f4f87-9g4ms,sidecar,797.3130000000001,exp1,5,360,1000.0,10,09-05-26-104246,-1,2.6248257110148594
22,client13,maurits-dijk-dd4ae495client131-hwk27,sidecar,793.9410000000007,exp1,5,360,1000.0,10,09-05-26-104246,-1,2.9770845146699108
13,client15,client15-79c969ddf-lmzwp,sidecar,924.4559999999984,exp1,5,360,1000.0,10,11-05-26-002038,-1,2.6392975655885103
24,client17,maurits-dijk-dd4ae495client171-7v2qr,sidecar,814.7519999999986,exp1,5,360,1000.0,10,09-05-26-104246,-1,2.50491405229572
14,client1,maurits-dijk-81582614client11-gnkv6,sidecar,805.7969999999996,exp1,5,400,1000.0,10,10-05-26-034603,-1,2.5599509612440197
