round,namespace,pod_name,container_name,joules
3,client10,client10-694b6b97b4-fmmw2,linkerd-init,0.0
3,client10,client10-694b6b97b4-fmmw2,linkerd-proxy,895.0379999999423
3,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-proxy,425.82299999997485
3,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-proxy,425.966999999946
3,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-init,0.0
3,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-proxy,425.86800000001676
3,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-init,0.0
3,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-init,0.0
3,client6,client6-785d875985-p6wj7,linkerd-proxy,810.8789999999572
3,client6,client6-785d875985-p6wj7,sidecar,808.719000000041
3,client6,client6-785d875985-p6wj7,client6,811.1339999999618
3,client6,client6-785d875985-p6wj7,linkerd-init,0.0
3,client4,client4-744474fb99-7r6nj,client4,770.6670000000158
3,client4,client4-744474fb99-7r6nj,sidecar,768.2100000000792
3,client4,client4-744474fb99-7r6nj,linkerd-proxy,770.5469999999041
3,client4,client4-744474fb99-7r6nj,linkerd-init,0.0
3,client17,client17-69b85b5ccf-vqwrf,linkerd-init,0.0
3,client17,client17-69b85b5ccf-vqwrf,linkerd-proxy,867.3450000000885
3,client15,client15-79c969ddf-jsj98,linkerd-init,0.0
3,client15,client15-79c969ddf-jsj98,linkerd-proxy,878.1419999999925
3,client9,client9-d68fb99b4-27ck8,client9,843.8970000001136
3,client9,client9-d68fb99b4-27ck8,sidecar,841.8600000001024
3,client9,client9-d68fb99b4-27ck8,linkerd-proxy,843.8670000000857
3,client9,client9-d68fb99b4-27ck8,linkerd-init,0.0
3,client5,client5-7d5ff7f8b4-vtj9q,linkerd-proxy,790.6649999999208
3,client5,client5-7d5ff7f8b4-vtj9q,linkerd-init,0.0
3,client12,client12-79bc8d5846-jnjhx,client12,876.9780000001192
3,client12,client12-79bc8d5846-jnjhx,linkerd-init,0.0
3,client12,client12-79bc8d5846-jnjhx,sidecar,874.4579999998678
3,client12,client12-79bc8d5846-jnjhx,linkerd-proxy,877.0229999999283
3,client16,client16-6dc7f87f54-mhgpm,linkerd-proxy,694.5570000000298
3,client16,client16-6dc7f87f54-mhgpm,sidecar,693.4500000000698
3,client16,client16-6dc7f87f54-mhgpm,client16,694.8869999999879
3,client16,client16-6dc7f87f54-mhgpm,linkerd-init,0.0
3,client2,client2-86cd6d8cf7-5d6gw,linkerd-init,0.0
3,client2,client2-86cd6d8cf7-5d6gw,client2,724.6199999999953
