namespace,pod_name,container_name,joules,clients,rounds,timestamp,experiment
client3,client3-58c68898cd-kbxk7,linkerd-proxy,563.4512666666668,15,20,small,C15_R20_small_26-01-26-130354_small
client3,client3-58c68898cd-kbxk7,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client16,client16-6dc7f87f54-5q97l,client16,541.1525333333334,15,20,small,C15_R20_small_26-01-26-130354_small
client16,client16-6dc7f87f54-5q97l,linkerd-proxy,538.8474,15,20,small,C15_R20_small_26-01-26-130354_small
client16,client16-6dc7f87f54-5q97l,sidecar,537.6404000000001,15,20,small,C15_R20_small_26-01-26-130354_small
client16,client16-6dc7f87f54-5q97l,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client11,client11-565c48c7c7-2pkbn,sidecar,550.4393333333333,15,20,small,C15_R20_small_26-01-26-130354_small
client11,client11-565c48c7c7-2pkbn,client11,554.5857333333332,15,20,small,C15_R20_small_26-01-26-130354_small
client11,client11-565c48c7c7-2pkbn,linkerd-proxy,552.1669999999999,15,20,small,C15_R20_small_26-01-26-130354_small
client11,client11-565c48c7c7-2pkbn,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
orchestrator,orchestrator-555f7b7c9d-4m55h,linkerd-proxy,322.553,15,20,small,C15_R20_small_26-01-26-130354_small
orchestrator,policy-enforcer-cb8dccbd8-x6rhh,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
orchestrator,orchestrator-555f7b7c9d-4m55h,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
orchestrator,policy-enforcer-cb8dccbd8-x6rhh,linkerd-proxy,322.19326666666666,15,20,small,C15_R20_small_26-01-26-130354_small
api-gateway,api-gateway-6bf76d45b7-tb5fg,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
api-gateway,api-gateway-6bf76d45b7-tb5fg,linkerd-proxy,329.1986,15,20,small,C15_R20_small_26-01-26-130354_small
client15,client15-79c969ddf-8t6w4,client15,544.9486666666667,15,20,small,C15_R20_small_26-01-26-130354_small
client15,client15-79c969ddf-8t6w4,sidecar,540.5514,15,20,small,C15_R20_small_26-01-26-130354_small
client15,client15-79c969ddf-8t6w4,linkerd-proxy,542.0234666666666,15,20,small,C15_R20_small_26-01-26-130354_small
client15,client15-79c969ddf-8t6w4,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client12,client12-79bc8d5846-z5bcv,client12,579.7292,15,20,small,C15_R20_small_26-01-26-130354_small
client12,client12-79bc8d5846-z5bcv,sidecar,576.5815333333333,15,20,small,C15_R20_small_26-01-26-130354_small
client12,client12-79bc8d5846-z5bcv,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client12,client12-79bc8d5846-z5bcv,linkerd-proxy,577.6938666666665,15,20,small,C15_R20_small_26-01-26-130354_small
client5,client5-7d5ff7f8b4-6lmnx,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client5,client5-7d5ff7f8b4-6lmnx,sidecar,613.6529999999999,15,20,small,C15_R20_small_26-01-26-130354_small
client5,client5-7d5ff7f8b4-6lmnx,client5,640.6755999999999,15,20,small,C15_R20_small_26-01-26-130354_small
client5,client5-7d5ff7f8b4-6lmnx,linkerd-proxy,640.3158666666666,15,20,small,C15_R20_small_26-01-26-130354_small
server,server-656f98b57f-g4sgf,sidecar,481.62613333333326,15,20,small,C15_R20_small_26-01-26-130354_small
server,server-656f98b57f-g4sgf,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
server,server-656f98b57f-g4sgf,linkerd-proxy,482.8757333333333,15,20,small,C15_R20_small_26-01-26-130354_small
server,server-656f98b57f-g4sgf,server,487.1688666666666,15,20,small,C15_R20_small_26-01-26-130354_small
client18,client18-69db77c748-psz4g,sidecar,584.3725999999999,15,20,small,C15_R20_small_26-01-26-130354_small
client18,client18-69db77c748-psz4g,client18,588.2456500000001,15,20,small,C15_R20_small_26-01-26-130354_small
client18,client18-69db77c748-psz4g,linkerd-proxy,585.7286999999999,15,20,small,C15_R20_small_26-01-26-130354_small
client18,client18-69db77c748-psz4g,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client4,client4-744474fb99-qpp8k,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client4,client4-744474fb99-qpp8k,sidecar,528.83995,15,20,small,C15_R20_small_26-01-26-130354_small
client4,client4-744474fb99-qpp8k,client4,532.3225,15,20,small,C15_R20_small_26-01-26-130354_small
client4,client4-744474fb99-qpp8k,linkerd-proxy,530.22445,15,20,small,C15_R20_small_26-01-26-130354_small
client6,client6-785d875985-vd74k,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client6,client6-785d875985-vd74k,client6,633.7957,15,20,small,C15_R20_small_26-01-26-130354_small
client6,client6-785d875985-vd74k,linkerd-proxy,630.4693500000001,15,20,small,C15_R20_small_26-01-26-130354_small
client6,client6-785d875985-vd74k,sidecar,629.0422500000001,15,20,small,C15_R20_small_26-01-26-130354_small
client13,client13-7bf86f4f87-z6rq4,client13,629.9546,15,20,small,C15_R20_small_26-01-26-130354_small
client13,client13-7bf86f4f87-z6rq4,sidecar,626.42235,15,20,small,C15_R20_small_26-01-26-130354_small
client13,client13-7bf86f4f87-z6rq4,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client13,client13-7bf86f4f87-z6rq4,linkerd-proxy,627.90625,15,20,small,C15_R20_small_26-01-26-130354_small
client19,client19-56fccdb4d9-ncklt,client19,575.4088499999999,15,20,small,C15_R20_small_26-01-26-130354_small
client19,client19-56fccdb4d9-ncklt,sidecar,571.98665,15,20,small,C15_R20_small_26-01-26-130354_small
client19,client19-56fccdb4d9-ncklt,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client19,client19-56fccdb4d9-ncklt,linkerd-proxy,573.32855,15,20,small,C15_R20_small_26-01-26-130354_small
client1,client1-7b9db886dd-8qfkj,sidecar,580.31495,15,20,small,C15_R20_small_26-01-26-130354_small
client1,client1-7b9db886dd-8qfkj,client1,583.5809499999999,15,20,small,C15_R20_small_26-01-26-130354_small
client1,client1-7b9db886dd-8qfkj,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client1,client1-7b9db886dd-8qfkj,linkerd-proxy,581.6994500000001,15,20,small,C15_R20_small_26-01-26-130354_small
client17,client17-69b85b5ccf-tbrbg,sidecar,610.75975,15,20,small,C15_R20_small_26-01-26-130354_small
client17,client17-69b85b5ccf-tbrbg,client17,614.2352000000001,15,20,small,C15_R20_small_26-01-26-130354_small
client17,client17-69b85b5ccf-tbrbg,linkerd-proxy,612.0981,15,20,small,C15_R20_small_26-01-26-130354_small
client17,client17-69b85b5ccf-tbrbg,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client10,client10-694b6b97b4-xtl79,client10,766.729,15,20,small,C15_R20_small_26-01-26-130354_small
client10,client10-694b6b97b4-xtl79,sidecar,655.99385,15,20,small,C15_R20_small_26-01-26-130354_small
client10,client10-694b6b97b4-xtl79,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client10,client10-694b6b97b4-xtl79,linkerd-proxy,766.52665,15,20,small,C15_R20_small_26-01-26-130354_small
client8,client8-5845965f99-bp45n,linkerd-proxy,552.0143499999999,15,20,small,C15_R20_small_26-01-26-130354_small
client8,client8-5845965f99-bp45n,client8,554.1514500000001,15,20,small,C15_R20_small_26-01-26-130354_small
client8,client8-5845965f99-bp45n,sidecar,550.96355,15,20,small,C15_R20_small_26-01-26-130354_small
client2,client2-86cd6d8cf7-fdcv8,sidecar,674.287,15,20,small,C15_R20_small_26-01-26-130354_small
client2,client2-86cd6d8cf7-fdcv8,client2,675.73895,15,20,small,C15_R20_small_26-01-26-130354_small
client2,client2-86cd6d8cf7-fdcv8,linkerd-proxy,675.6431,15,20,small,C15_R20_small_26-01-26-130354_small
